ORa2 {'Iter': [12], 'EtotRyd': [-100351.21257814], 'VolBohr3': [633.44312], 'EfermiRyd': [0.671712036]}
O10Rn4 {'Iter': [11], 'EtotRyd': [-190471.96925401], 'VolBohr3': [1217.38657], 'EfermiRyd': [0.5335220945]}
O6Zr4 {'Iter': [8], 'EtotRyd': [-29698.12898893], 'VolBohr3': [879.89595], 'EfermiRyd': [0.7967344598]}
O3Pt {'Iter': [11], 'EtotRyd': [-37344.45945619], 'VolBohr3': [387.83357], 'EfermiRyd': [0.2577833568]}
CdO {'Iter': [8], 'EtotRyd': [-11342.56853152], 'VolBohr3': [184.44705], 'EfermiRyd': [0.3630766388]}
HgO {'Iter': [8], 'EtotRyd': [-39474.06611646], 'VolBohr3': [202.58574], 'EfermiRyd': [0.4164523592]}
OPm {'Iter': [10], 'EtotRyd': [-20205.2765134], 'VolBohr3': [210.42769], 'EfermiRyd': [0.8316874028]}
O6Pb4 {'Iter': [8], 'EtotRyd': [-168331.9739288], 'VolBohr3': [1162.3416], 'EfermiRyd': [0.3808790587]}
LaO {'Iter': [8], 'EtotRyd': [-17146.11172456], 'VolBohr3': [231.56501], 'EfermiRyd': [0.8785531033]}
ORh {'Iter': [9], 'EtotRyd': [-9720.88278062], 'VolBohr3': [148.31464], 'EfermiRyd': [0.7316207214]}
EuO2 {'Iter': [22], 'EtotRyd': [-22005.82823395], 'VolBohr3': [299.46449], 'EfermiRyd': [0.3870486875]}
O2Xe {'Iter': [8], 'EtotRyd': [-15200.85397146], 'VolBohr3': [334.71004], 'EfermiRyd': [0.2923638263]}
OXe {'Iter': [8], 'EtotRyd': [-15050.63315387], 'VolBohr3': [310.54995], 'EfermiRyd': [0.1963587682], 'Warning_last': ':WARN : QTL-B value eq.   2.05 in Band of energy   0.24645  ATOM=    2  L=  1'}
GdO3 {'Iter': [40], 'EtotRyd': [-23012.10992899], 'VolBohr3': [613.29587], 'EfermiRyd': [-0.0731264851]}
O6Ta4 {'Iter': [9], 'EtotRyd': [-125912.52667866], 'VolBohr3': [809.66884], 'EfermiRyd': [0.9126887425]}
O2Zr {'Iter': [8], 'EtotRyd': [-7499.91469545], 'VolBohr3': [226.11998], 'EfermiRyd': [0.6494295748]}
OOs {'Iter': [9], 'EtotRyd': [-34714.12445304], 'VolBohr3': [152.53193], 'EfermiRyd': [0.9613666828]}
Gd4O6 {'Iter': [41], 'EtotRyd': [-91146.7126339], 'VolBohr3': [1070.03163], 'EfermiRyd': [0.5221841782]}
Eu2O {'Iter': [16], 'EtotRyd': [-43559.61965055], 'VolBohr3': [363.4685], 'EfermiRyd': [0.8480003835]}
LuO2 {'Iter': [11], 'EtotRyd': [-29463.63449316], 'VolBohr3': [249.8067], 'EfermiRyd': [0.4131177463]}
O10Y4 {'Iter': [10], 'EtotRyd': [-28591.07003306], 'VolBohr3': [1110.05176], 'EfermiRyd': [0.4479384717]}
ErO {'Iter': [12], 'EtotRyd': [-26350.23795462], 'VolBohr3': [182.8488], 'EfermiRyd': [0.8108770102]}
O2Y {'Iter': [8], 'EtotRyd': [-7072.76433267], 'VolBohr3': [270.75777], 'EfermiRyd': [0.3333585159]}
O2Pm {'Iter': [20], 'EtotRyd': [-20355.87377186], 'VolBohr3': [299.17469], 'EfermiRyd': [0.4537074444]}
O2Rn {'Iter': [8], 'EtotRyd': [-47542.9173003], 'VolBohr3': [325.51235], 'EfermiRyd': [0.4665903149]}
O3W {'Iter': [9], 'EtotRyd': [-32784.02071907], 'VolBohr3': [380.45639], 'EfermiRyd': [0.3091729999]}
BaO {'Iter': [9], 'EtotRyd': [-16429.49750873], 'VolBohr3': [297.81063], 'EfermiRyd': [0.4820109973]}
Ba2O {'Iter': [12], 'EtotRyd': [-32708.13199035], 'VolBohr3': [559.96119], 'EfermiRyd': [0.6368289927]}
EuO {'Iter': [11], 'EtotRyd': [-21855.27522304], 'VolBohr3': [208.01839], 'EfermiRyd': [0.7848924677]}
Ac4O6 {'Iter': [10], 'EtotRyd': [-207193.13621462], 'VolBohr3': [1370.03315], 'EfermiRyd': [0.5118744263]}
OTm {'Iter': [12], 'EtotRyd': [-27315.09644353], 'VolBohr3': [179.64678], 'EfermiRyd': [0.8128059627]}
O10Ta4 {'Iter': [12], 'EtotRyd': [-126513.88182186], 'VolBohr3': [885.19836], 'EfermiRyd': [0.7984594612]}
Ac2O {'Iter': [10], 'EtotRyd': [-103294.89579464], 'VolBohr3': [541.39364], 'EfermiRyd': [0.8387574488]}
CeO2 {'Iter': [14], 'EtotRyd': [-18032.25165809], 'VolBohr3': [274.88012], 'EfermiRyd': [0.5945431336]}
IO2 {'Iter': [8], 'EtotRyd': [-14538.79847552], 'VolBohr3': [278.02625], 'EfermiRyd': [0.5429672452]}
Fr2O {'Iter': [12], 'EtotRyd': [-97465.1191932], 'VolBohr3': [717.54968], 'EfermiRyd': [0.440491737]}
O6Sb4 {'Iter': [8], 'EtotRyd': [-52771.89652527], 'VolBohr3': [1051.94421], 'EfermiRyd': [0.4416273028]}
LaO3 {'Iter': [8], 'EtotRyd': [-17446.72047133], 'VolBohr3': [607.14517], 'EfermiRyd': [-0.0319409919]}
HfO {'Iter': [9], 'EtotRyd': [-30346.33009604], 'VolBohr3': [160.87877], 'EfermiRyd': [1.075691515], 'Warning_last': ':WARN : QTL-B value eq.   2.69 in Band of energy   0.31960  ATOM=    2  L=  1'}
O3Os {'Iter': [9], 'EtotRyd': [-35015.3581337], 'VolBohr3': [362.769], 'EfermiRyd': [0.4097422966]}
OPu {'Iter': [10], 'EtotRyd': [-59534.74564334], 'VolBohr3': [179.32236], 'EfermiRyd': [1.2127173119]}
MoO2 {'Iter': [10], 'EtotRyd': [-8400.2522322], 'VolBohr3': [200.79315], 'EfermiRyd': [0.8402542513]}
OTa {'Iter': [9], 'EtotRyd': [-31402.73482857], 'VolBohr3': [154.29972], 'EfermiRyd': [1.1390215133], 'Warning_last': ':WARN : QTL-B value eq.   2.81 in Band of energy   0.33885  ATOM=    2  L=  1'}
Hf4O10 {'Iter': [11], 'EtotRyd': [-122288.05754012], 'VolBohr3': [949.59455], 'EfermiRyd': [0.6728946057]}
OTc {'Iter': [8], 'EtotRyd': [-8723.67957468], 'VolBohr3': [142.60906], 'EfermiRyd': [1.0655606303], 'Warning_last': ':WARN : QTL-B value eq.   3.36 in Band of energy   0.36022  ATOM=    2  L=  1'}
NdO {'Iter': [10], 'EtotRyd': [-19410.80971128], 'VolBohr3': [216.84083], 'EfermiRyd': [0.8372332587]}
O3Pm {'Iter': [38], 'EtotRyd': [-20506.08183648], 'VolBohr3': [642.91888], 'EfermiRyd': [-0.0680062384]}
Dy2O {'Iter': [17], 'EtotRyd': [-48823.69362725], 'VolBohr3': [376.49074], 'EfermiRyd': [0.7401189271]}
Np4O10 {'Iter': [21], 'EtotRyd': [-232541.94320472], 'VolBohr3': [1003.87018], 'EfermiRyd': [0.949076857]}
O6Rh4 {'Iter': [9], 'EtotRyd': [-39184.79978657], 'VolBohr3': [733.7805], 'EfermiRyd': [0.6745347455]}
HoO {'Iter': [14], 'EtotRyd': [-25407.7535174], 'VolBohr3': [186.05569], 'EfermiRyd': [0.8096417624]}
OW {'Iter': [9], 'EtotRyd': [-32482.59788876], 'VolBohr3': [150.64064], 'EfermiRyd': [1.1393321417], 'Warning_last': ':WARN : QTL-B value eq.   2.51 in Band of energy   0.33870  ATOM=    2  L=  1'}
Hf2O {'Iter': [9], 'EtotRyd': [-60541.81644948], 'VolBohr3': [324.60942], 'EfermiRyd': [0.822230188]}
Np4O6 {'Iter': [10], 'EtotRyd': [-231940.24481848], 'VolBohr3': [986.05562], 'EfermiRyd': [0.9446614474]}
OZr {'Iter': [8], 'EtotRyd': [-7349.13601847], 'VolBohr3': [163.95222], 'EfermiRyd': [1.0242776648], 'Warning_last': ':WARN : QTL-B value eq.   2.72 in Band of energy   0.33641  ATOM=    2  L=  1'}
Lu4O6 {'Iter': [11], 'EtotRyd': [-117553.6468556], 'VolBohr3': [951.16311], 'EfermiRyd': [0.5126862048]}
AuO3 {'Iter': [11], 'EtotRyd': [-38546.66515209], 'VolBohr3': [431.33219], 'EfermiRyd': [0.0987855615]}
O6Tm4 {'Iter': [15], 'EtotRyd': [-109561.39352875], 'VolBohr3': [981.45434], 'EfermiRyd': [0.4982099485]}
CmO3 {'Iter': [17], 'EtotRyd': [-63184.49403043], 'VolBohr3': [454.74685], 'EfermiRyd': [0.2888971035]}
O2Ta {'Iter': [9], 'EtotRyd': [-31553.47773486], 'VolBohr3': [211.85174], 'EfermiRyd': [0.9457176138]}
Cs4O10 {'Iter': [12], 'EtotRyd': [-63824.97919696], 'VolBohr3': [1644.4723], 'EfermiRyd': [0.10826663]}
ORe2 {'Iter': [9], 'EtotRyd': [-67022.16947521], 'VolBohr3': [271.04911], 'EfermiRyd': [0.9606747493]}
